date	place	strikes
2015-12-01	Al Hawl	1
2015-12-01	Al Hawijah	1
2015-12-01	Habbaniyah	1
2015-12-01	Makhmur	1
2015-12-01	Ramadi	5
2015-12-01	Sinjar	3
2015-12-01	Al Qaim	1
2015-12-01	Sultan Abdallah	1
2015-11-30	Dayr Az Zawr	1
2015-11-30	Al Hawl	2
2015-11-30	Albu Hayat	1
2015-11-30	Fallujah	1
2015-11-30	Habbaniyah	1
2015-11-30	Mosul	1
2015-11-30	Qayyarah	1
2015-11-30	Ramadi	5
2015-11-30	Sinjar	2
2015-11-28	Ayn Isa	3
2015-11-28	Al Baghdadi	2
2015-11-28	Albu Hayat	1
2015-11-28	Mosul	3
2015-11-28	Ramadi	7
2015-11-28	Sinjar	4
2015-11-27	Fallujah	2
2015-11-27	Kisik	2
2015-11-27	Ramadi	7
2015-11-27	Sinjar	5
2015-11-27	Sultan Abdallah	1
2015-11-27	Tal Afar	1
2015-11-26	Al Hawl	2
2015-11-26	Ar Raqqah	2
2015-11-26	Al Baghdadi	1
2015-11-26	Albu Hayat	1
2015-11-26	Kisik	2
2015-11-26	Mosul	5
2015-11-26	Ramadi	7
2015-11-26	Sinjar	5
2015-11-26	Sultan Abdallah	2
2015-11-25	Al Hasakah	3
2015-11-25	Ayn Isa	1
2015-11-24	Al Hasakah	3
2015-11-24	Al Hawl	2
2015-11-24	Ar Raqqah	1
2015-11-22	Al Hasakah	5
2015-11-22	Al Hawl	3
2015-11-21	Abu Kamal	1
2015-11-21	Al Hasakah	4
2015-11-21	Al Hawl	2
2015-11-21	Ar Raqqah	1
2015-11-21	Dayr Az Zawr	1
2015-11-15	Al Hasakah	2
2015-11-15	Ar Raqqah	1
2015-11-14	Al Hawl	4
2015-11-14	Ar Raqqah	2
2015-11-12	Al Hawl	8
2015-11-12	Albu Hayat	1
2015-11-12	Kisik	2
2015-11-12	Mosul	1
2015-11-12	Ramadi	6
2015-11-12	Sinjar	24
2015-11-12	Tal Afar	6
2015-11-08	Al Hasakah	3
2015-11-08	Al Hawl	6
2015-11-07	Al Hawl	2
2015-11-07	Dayr Az Zawr	1
2015-11-03	Al Hasakah	3
2015-11-02	Al Hawl	1
2015-11-02	Al Hasakah	2
2015-11-02	Ar Raqqah	1
2015-11-01	Al Hawl	3
2015-11-01	Mar'a	6
2015-11-01	Al Hawijah	1
2015-11-01	Bayji	1
2015-11-01	Mosul	2
2015-11-01	Ramadi	3
2015-11-01	Sinjar	7
2015-11-01	Sultan Abdallah	1
2015-11-01	Tal Afar	1
2015-10-31	Al Hawl	2
2015-10-31	Ar Raqqah	1
2015-10-31	Dayr Az Zawr	4
2015-10-31	Al Qaim	1
2015-10-31	Kisik	1
2015-10-31	Mosul	1
2015-10-31	Qayyarah	1
2015-10-31	Ramadi	4
2015-10-31	Sinjar	4
2015-10-31	Sultan Abdallah	1
2015-10-31	Tal Afar	1
2015-10-28	Mosul	2
2015-10-28	Ramadi	2
2015-10-28	Samarra	1
2015-10-28	Sinjar	4
2015-10-28	Sultan Abdallah	1
2015-10-28	Tal Afar	4
2015-10-26	Bayji	1
2015-10-26	Habbaniyah	2
2015-10-26	Kisik	1
2015-10-26	Mosul	1
2015-10-26	Ramadi	5
2015-10-26	Sinjar	3
2015-10-26	Sultan Abdallah	1
2015-10-26	Tal Afar	1
2015-10-26	Al Hawijah	2
2015-10-25	Bayji	1
2015-10-25	Fallujah	1
2015-10-25	Kisik	8
2015-10-25	Mosul	2
2015-10-25	Ramadi	5
2015-10-25	Sinjar	5
2015-10-24	Al Baghdadi	1
2015-10-24	Al Qaim	1
2015-10-24	Albu Hayat	1
2015-10-24	Ar Rutbah	1
2015-10-24	Fallujah	1
2015-10-24	Kisik	1
2015-10-24	Mosul	2
2015-10-24	Ramadi	7
2015-10-24	Sinjar	3
2015-10-24	Sultan Abdallah	1
2015-10-24	Tal Afar	2
2015-10-22	Ar Raqqah	1
2015-10-22	Washiyah	1
2015-10-21	Manbij	4
2015-10-21	Kisik	6
2015-10-21	Ramadi	2
2015-10-21	Sinjar	4
2015-10-21	Sultan Abdallah	1
2015-10-21	Tal Afar	1
2015-10-20	Ar Raqqah	1
2015-10-20	Tal Jibbin	1
2015-10-20	Kisik	2
2015-10-20	Makhmur	1
2015-10-20	Mosul	1
2015-10-20	Ramadi	2
2015-10-20	Sinjar	8
2015-10-20	Tal Afar	1
2015-10-19	Manbij	1
2015-10-19	Al Baghdadi	1
2015-10-19	Bayji	2
2015-10-19	Fallujah	1
2015-10-19	Kisik	1
2015-10-19	Ramadi	4
2015-10-19	Sinjar	4
2015-10-19	Tal Afar	4
2015-10-18	Abu Kamal	2
2015-10-18	Aleppo	1
2015-10-18	Ar Raqqah	2
2015-10-18	Bayji	1
2015-10-18	Habbaniyah	1
2015-10-18	Kisik	2
2015-10-18	Mosul	3
2015-10-18	Qayyarah	1
2015-10-18	Ramadi	3
2015-10-18	Sinjar	5
2015-10-18	Sultan Abdallah	1
2015-10-18	Tal Afar	1
2015-10-17	Ar Raqqah	1
2015-10-16	Aleppo	1
2015-10-16	Washiyah	1
2015-10-15	Al Bab	1
2015-10-15	Ar Raqqah	1
2015-10-15	Manbij	1
2015-10-15	Tal Jibbin	1
2015-10-15	Washiyah	2
2015-10-15	Al Baghdadi	3
2015-10-15	Al Hawijah	1
2015-10-15	Bayji	2
2015-10-15	Habbaniyah	1
2015-10-15	Hit	1
2015-10-15	Kisik	1
2015-10-15	Ramadi	4
2015-10-15	Sinjar	4
2015-10-14	Al Hawl	1
2015-10-14	Ar Raqqah	1
2015-10-14	Al Baghdadi	1
2015-10-14	Bayji	2
2015-10-14	Kisik	1
2015-10-14	Mosul	3
2015-10-14	Ramadi	4
2015-10-14	Samarra	1
2015-10-14	Sinjar	3
2015-10-14	Tal Afar	1
2015-10-13	Al Hawl	1
2015-10-13	Abu Kamal	1
2015-10-13	Dayr Az Zawr	1
2015-10-13	Al Hawijah	2
2015-10-13	Bayji	1
2015-10-13	Habbaniyah	1
2015-10-13	Mosul	1
2015-10-13	Ramadi	4
2015-10-13	Sinjar	1
2015-10-13	Tal Afar	1
2015-10-12	Al Hasakah	1
2015-10-12	Washiyah	1
2015-10-12	Al Baghdadi	1
2015-10-12	Bayji	3
2015-10-12	Fallujah	1
2015-10-12	Kisik	1
2015-10-12	Mosul	1
2015-10-12	Ramadi	7
2015-10-12	Sinjar	1
2015-10-12	Sultan Abdallah	1
2015-10-12	Tal Afar	1
2015-10-12	Al Waleed	1
2015-10-11	Al Hasakah	1
2015-10-11	Al Hawl	1
2015-10-11	Ar Raqqah	1
2015-10-11	Manbij	1
2015-10-11	Palmyra	1
2015-10-11	Dayr Az Zawr	1
2015-10-11	Washiyah	1
2015-10-11	Al Hawijah	1
2015-10-11	Bayji	1
2015-10-11	Fallujah	1
2015-10-11	Habbaniyah	2
2015-10-11	Kirkuk	1
2015-10-11	Kisik	1
2015-10-11	Ramadi	4
2015-10-11	Sinjar	3
2015-10-11	Sultan Abdallah	1
2015-10-11	Tal Afar	2
2015-10-10	Al Hasakah	1
2015-10-10	Ar Raqqah	1
2015-10-10	Manbij	1
2015-10-09	Ar Raqqah	1
2015-10-08	Al Hawl	2
2015-10-08	Bayji	2
2015-10-08	Kirkuk	2
2015-10-08	Mosul	2
2015-10-08	Ramadi	5
2015-10-08	Sinjar	6
2015-10-08	Sultan Abdallah	1
2015-10-07	Abu Kamal	3
2015-10-07	Habbaniyah	1
2015-10-07	Kirkuk	2
2015-10-07	Kisik	3
2015-10-07	Makhmur	1
2015-10-07	Mosul	3
2015-10-07	Ramadi	5
2015-10-07	Sinjar	1
2015-10-07	Sultan Abdallah	1
2015-10-07	Tal Afar	2
2015-10-07	Tikrit	1
2015-10-06	Al Hasakah	5
2015-10-06	Dayr Az Zawr	1
2015-10-06	Manbij	1
2015-10-06	Al Hawijah	3
2015-10-06	Habbaniyah	1
2015-10-06	Mosul	1
2015-10-06	Ramadi	9
2015-10-06	Sinjar	2
2015-10-06	Sultan Abdallah	1
2015-10-05	Al Hasakah	6
2015-10-05	Al Hawl	1
2015-10-05	Palmyra	1
2015-10-05	Al Baghdadi	1
2015-10-05	Al Hawijah	1
2015-10-05	Bayji	1
2015-10-05	Fallujah	1
2015-10-05	Habbaniyah	1
2015-10-05	Hit	1
2015-10-05	Kisik	1
2015-10-05	Mosul	2
2015-10-05	Ramadi	2
2015-10-05	Sinjar	2
2015-10-04	Al Hasakah	3
2015-10-04	Ar Raqqah	1
2015-10-03	Al Hasakah	4
2015-10-03	Kobani	1
2015-10-03	Abu Kamal	2
2015-10-03	Al Hawl	2
2015-10-03	Dayr Az Zawr	1
2015-10-03	Al Baghdadi	1
2015-10-03	Al Hawijah	2
2015-10-03	Bayji	1
2015-10-03	Kirkuk	1
2015-10-03	Kisik	1
2015-10-03	Mosul	3
2015-10-03	Ramadi	6
2015-10-03	Sinjar	2
2015-09-29	Abu Kamal	2
2015-09-29	Dayr Az Zawr	1
2015-09-28	Abu Kamal	1
2015-09-28	Ar Raqqah	1
2015-09-27	Al Hasakah	1
2015-09-27	Abu Kamal	1
2015-09-26	Al Hawl	1
2015-09-26	Al Baghdadi	1
2015-09-26	Al Hawijah	4
2015-09-26	Al Qaim	1
2015-09-26	Albu Hayat	2
2015-09-26	Bayji	3
2015-09-26	Habbaniyah	2
2015-09-26	Mosul	5
2015-09-26	Ramadi	2
2015-09-26	Sinjar	3
2015-09-26	Tal Afar	1
2015-09-25	Dayr Az Zawr	1
2015-09-25	Al Hawijah	2
2015-09-25	Bayji	1
2015-09-25	Habbaniyah	1
2015-09-25	Hit	1
2015-09-25	Kirkuk	1
2015-09-25	Mosul	4
2015-09-25	Qayyarah	1
2015-09-25	Ramadi	5
2015-09-25	Rawah	1
2015-09-25	Sinjar	1
2015-09-25	Sultan Abdallah	1
2015-09-25	Tal Afar	1
2015-09-24	Al Hasakah	2
2015-09-24	Ar Raqqah	1
2015-09-15	Al Hasakah	2
2015-09-15	Dayr Az Zawr	1
2015-09-15	Al Baghdadi	1
2015-09-15	Al Hawijah	2
2015-09-15	Bayji	3
2015-09-15	Habbaniyah	1
2015-09-15	Kirkuk	1
2015-09-15	Mosul	3
2015-09-15	Ramadi	1
2015-09-15	Sinjar	3
2015-09-14	Dayr Az Zawr	2
2015-09-14	Kobani	1
2015-09-13	Al Hawl	2
2015-09-13	Ar Raqqah	1
2015-09-13	Kobani	1
2015-09-12	Abu Kamal	2
2015-09-12	Al Hasakah	1
2015-09-12	Bayji	2
2015-09-12	Hit	2
2015-09-12	Kirkuk	1
2015-09-12	Kisik	2
2015-09-12	Mosul	2
2015-09-12	Ramadi	3
2015-09-12	Sinjar	1
2015-09-12	Sultan Abdallah	1
2015-09-12	Tuz	8
2015-09-11	Al Hawl	2
2015-09-11	Palmyra	1
2015-09-11	Al Hawijah	3
2015-09-11	Bayji	2
2015-09-11	Fallujah	1
2015-09-11	Hit	1
2015-09-11	Kisik	3
2015-09-11	Mosul	4
2015-09-11	Ramadi	1
2015-09-11	Sinjar	1
2015-09-11	Tal Afar	1
2015-09-11	Tuz	10
2015-09-10	Abu Kamal	1
2015-09-10	Al Hasakah	3
2015-09-10	Al Hawl	1
2015-09-10	Ar Raqqah	1
2015-09-10	Kobani	2
2015-09-08	Al Hawl	1
2015-09-08	Ayn Isa	1
2015-09-07	Ar Raqqah	1
2015-09-05	Ar Raqqah	1
2015-09-02	Al Hawl	1
2015-09-02	Ar Raqqah	2
2015-09-02	Dayr Az Zawr	1
2015-09-02	Kobani	2
2015-09-01	Al Hawl	1
2015-09-01	Kobani	2
2015-08-31	Al Hawl	1
2015-08-31	Al Baghdadi	1
2015-08-31	Bayji	1
2015-08-31	Kisik	1
2015-08-31	Ramadi	1
2015-08-31	Sinjar	2
2015-08-31	Sultan Abdallah	2
2015-08-31	Tal Afar	1
2015-08-31	Tuz	2
2015-08-30	Al Hawl	1
2015-08-30	Ar Raqqah	1
2015-08-30	Kobani	4
2015-08-30	Washiyah	1
2015-08-30	Bayji	2
2015-08-30	Habbaniyah	1
2015-08-30	Kisik	1
2015-08-30	Ramadi	5
2015-08-30	Sinjar	1
2015-08-30	Tuz	3
2015-08-29	Al Hasakah	4
2015-08-29	Al Hawl	2
2015-08-29	Washiyah	1
2015-08-29	Al Baghdadi	1
2015-08-29	Bayji	4
2015-08-29	Habbaniyah	1
2015-08-29	Kisik	1
2015-08-29	Makhmur	1
2015-08-29	Mosul	1
2015-08-29	Ramadi	1
2015-08-29	Sinjar	2
2015-08-29	Tal Afar	1
2015-08-29	Tuz	2
2015-08-28	Aleppo	1
2015-08-28	Ar Raqqah	1
2015-08-28	Al Hasakah	1
2015-08-28	Kobani	1
2015-08-28	Washiyah	3
2015-08-28	Bayji	2
2015-08-28	Habbaniyah	1
2015-08-28	Haditha	1
2015-08-28	Kirkuk	1
2015-08-28	Kisik	2
2015-08-28	Mosul	2
2015-08-28	Ramadi	1
2015-08-28	Sinjar	2
2015-08-28	Tuz	1
2015-08-27	Al Hawl	3
2015-08-27	Kobani	1
2015-08-27	Bayji	5
2015-08-27	Fallujah	1
2015-08-27	Kisik	2
2015-08-27	Mosul	2
2015-08-27	Ramadi	2
2015-08-27	Sinjar	2
2015-08-27	Sultan Abdallah	1
2015-08-27	Tuz	6
2015-08-26	Ayn Isa	1
2015-08-26	Kobani	1
2015-08-26	Bayji	2
2015-08-26	Fallujah	1
2015-08-26	Mosul	3
2015-08-26	Ramadi	2
2015-08-26	Sinjar	3
2015-08-26	Tuz	7
2015-08-25	Al Hasakah	2
2015-08-25	Al Hawl	1
2015-08-25	Ar Raqqah	1
2015-08-25	Washiyah	1
2015-08-25	Al Baghdadi	3
2015-08-25	Bayji	2
2015-08-25	Fallujah	1
2015-08-25	Kisik	2
2015-08-25	Mosul	5
2015-08-25	Sinjar	4
2015-08-25	Sultan Abdallah	1
2015-08-25	Tal Afar	1
2015-08-25	Tuz	12
2015-08-24	Al Hasakah	3
2015-08-24	Al Hawl	2
2015-08-24	Ayn Isa	1
2015-08-24	Kobani	1
2015-08-24	Washiyah	1
2015-08-24	Bayji	1
2015-08-24	Fallujah	2
2015-08-24	Kisik	1
2015-08-24	Mosul	1
2015-08-24	Qayyarah	2
2015-08-24	Ramadi	1
2015-08-24	Sultan Abdallah	1
2015-08-24	Tuz	3
2015-08-23	Al Hasakah	4
2015-08-23	Al Hawl	1
2015-08-23	Ar Raqqah	2
2015-08-23	Ayn Isa	1
2015-08-23	Washiyah	1
2015-08-23	Al Baghdadi	1
2015-08-23	Ar Rutbah	1
2015-08-23	Bayji	2
2015-08-23	Mosul	2
2015-08-23	Ramadi	2
2015-08-23	Sinjar	4
2015-08-23	Tuz	5
2015-08-20	Al Hasakah	2
2015-08-20	Aleppo	4
2015-08-20	Kobani	2
2015-08-20	Ar Rutbah	3
2015-08-20	Bayji	2
2015-08-20	Makhmur	1
2015-08-20	Mosul	5
2015-08-20	Ramadi	2
2015-08-20	Sinjar	1
2015-08-20	Tuz	7
2015-08-19	Al Hasakah	5
2015-08-19	Aleppo	2
2015-08-19	Ar Raqqah	1
2015-08-19	Bayji	2
2015-08-19	Habbaniyah	2
2015-08-19	Makhmur	5
2015-08-19	Mosul	1
2015-08-19	Ramadi	2
2015-08-19	Sinjar	2
2015-08-19	Tal Afar	1
2015-08-19	Tuz	3
2015-08-18	Al Hasakah	2
2015-08-18	Kobani	1
2015-08-18	Ar Rutbah	3
2015-08-18	Bayji	2
2015-08-18	Haditha	2
2015-08-18	Makhmur	3
2015-08-18	Mosul	1
2015-08-18	Ramadi	2
2015-08-18	Sinjar	1
2015-08-18	Tal Afar	2
2015-08-18	Tuz	1
2015-08-17	Al Hasakah	2
2015-08-17	Aleppo	2
2015-08-17	Kobani	1
2015-08-17	Al Qaim	1
2015-08-17	Bayji	2
2015-08-17	Habbaniyah	1
2015-08-17	Makhmur	1
2015-08-17	Mosul	2
2015-08-17	Ramadi	3
2015-08-17	Sinjar	2
2015-08-17	Tuz	1
2015-08-16	Al Hasakah	3
2015-08-16	Aleppo	1
2015-08-16	Ayn Isa	2
2015-08-16	Kobani	1
2015-08-16	Al Qaim	1
2015-08-16	Bayji	1
2015-08-16	Fallujah	4
2015-08-16	Habbaniyah	1
2015-08-16	Makhmur	1
2015-08-16	Mosul	4
2015-08-16	Ramadi	2
2015-08-16	Sinjar	1
2015-08-15	Al Hasakah	3
2015-08-15	Aleppo	2
2015-08-15	Al Baghdadi	1
2015-08-15	Bayji	1
2015-08-15	Fallujah	1
2015-08-15	Haditha	3
2015-08-15	Kirkuk	1
2015-08-15	Makhmur	1
2015-08-15	Mosul	1
2015-08-15	Ramadi	5
2015-08-15	Sinjar	1
2015-08-14	Al Hasakah	3
2015-08-14	Aleppo	2
2015-08-14	Ar Raqqah	2
2015-08-14	Kobani	1
2015-08-14	Al Hawijah	1
2015-08-14	Bayji	1
2015-08-14	Fallujah	1
2015-08-14	Habbaniyah	1
2015-08-14	Kirkuk	1
2015-08-14	Makhmur	1
2015-08-14	Mosul	2
2015-08-14	Ramadi	6
2015-08-14	Sinjar	2
2015-08-14	Tal Afar	6
2015-08-14	Tuz	1
2015-08-13	Abu Kamal	2
2015-08-13	Al Hasakah	5
2015-08-13	Aleppo	3
2015-08-13	Kobani	2
2015-08-13	Al Baghdadi	1
2015-08-13	Bayji	1
2015-08-13	Haditha	2
2015-08-13	Kirkuk	1
2015-08-13	Makhmur	1
2015-08-13	Mosul	2
2015-08-13	Ramadi	2
2015-08-13	Sinjar	1
2015-08-13	Tal Afar	1
2015-08-12	Al Hasakah	5
2015-08-12	Aleppo	3
2015-08-12	Dayr Az Zawr	1
2015-08-12	Al Hawijah	2
2015-08-12	Bayji	1
